Geneid	F9C3	F9C4	F9D1	F9D3	F9D4
FBgn0031372	26	34	0	0	0
FBgn0264884	0	3	0	0	0
FBgn0031373	264	291	271	233	350
FBgn0031374	6766	4149	7127	6657	6493
FBgn0011859	0	0	0	0	0
FBgn0053673	0	3	0	0	0
FBgn0031375	48	51	55	37	50
FBgn0051942	0	0	0	0	0
FBgn0031376	1501	1783	1488	1592	1414
FBgn0031377	1535	1057	1625	1744	1342
FBgn0031378	410	445	393	583	380
FBgn0031379	1330	1325	1424	1566	1342
FBgn0001125	14429	16063	23812	24592	26359
FBgn0031381	3425	3658	3368	3603	3615
FBgn0262148	19	18	14	17	19
FBgn0043539	20	50	0	0	0
FBgn0053543	366	293	325	286	346
FBgn0263441	4	2	3	0	1
FBgn0040718	233	310	171	164	202
FBgn0267276	2	0	3	0	1
FBgn0040717	33	48	22	36	41
FBgn0051943	0	0	0	0	0
FBgn0051944	0	0	0	0	0
FBgn0031384	2212	2090	2204	2434	1765
FBgn0051939	0	0	0	0	0
FBgn0051940	0	0	0	0	0
FBgn0051669	0	0	0	0	0
FBgn0011860	0	0	0	0	0
FBgn0259192	18	26	19	20	21
FBgn0259230	0	2	0	1	2
FBgn0003557	5269	4192	4912	5193	4421
FBgn0266836	7	4	6	5	6
FBgn0028952	337	290	340	471	252
FBgn0026396	7	2	0	0	0
FBgn0053516	123	89	103	119	121
FBgn0031388	6	6	0	0	0
FBgn0266043	0	0	0	0	0
FBgn0264864	3	6	0	0	0
FBgn0031389	737	762	658	542	651
FBgn0004507	25781	23091	26237	24702	27041
FBgn0031390	3413	3013	3712	4433	3171
FBgn0031391	876	872	958	1064	824
FBgn0027509	1752	1775	1964	2381	1576
FBgn0031392	2849	3089	3134	3681	2420
FBgn0031393	58	39	81	50	27
FBgn0000097	2336	1564	2228	2122	2163
FBgn0265017	8	1	2	5	7
FBgn0264875	2	0	1	0	0
FBgn0051946	0	0	0	0	0
FBgn0266828	3	3	2	1	3
FBgn0031395	1146	1038	1249	1360	1037
FBgn0264874	34	30	35	25	27
FBgn0085201	2982	2794	2378	2036	3456
FBgn0051668	2	1	6	5	2
FBgn0053124	7	4	12	14	5
FBgn0031397	478	359	446	407	456
FBgn0010288	3763	4169	4086	4980	3426
FBgn0085203	210	184	216	260	213
FBgn0031398	800	781	850	1126	740
FBgn0259717	0	0	0	0	0
FBgn0040715	0	0	0	0	0
FBgn0031399	1367	1215	1418	1534	1197
FBgn0031401	1873	1686	1880	1962	1786
FBgn0031403	384	362	419	553	331
FBgn0267378	4722	3401	4486	4356	4248
FBgn0264945	6	6	5	5	7
FBgn0262126	3706	3041	4009	4380	3324
FBgn0264946	0	2	0	1	0
FBgn0051679	22	38	0	1	1
FBgn0052463	7	7	0	0	1
FBgn0051682	28	40	3	3	5
FBgn0264979	1508	1644	1543	1738	1548
FBgn0262106	12	17	0	1	1
FBgn0011832	175	125	79	45	133
FBgn0042186	375	392	177	213	185
FBgn0042187	13	21	2	9	2
FBgn0031406	321	391	187	140	138
FBgn0266022	0	0	0	0	0
FBgn0266023	0	0	0	0	0
FBgn0054049	2	14	0	0	0
FBgn0264084	11	6	1	2	0
FBgn0264085	25	34	3	5	3
FBgn0031409	10	18	0	0	0
FBgn0051681	723	830	602	579	589
FBgn0261523	7	5	0	0	0
FBgn0031410	47	41	0	0	0
FBgn0028570	7	17	0	0	0
FBgn0051949	31	27	0	0	0
FBgn0031412	192	196	279	357	394
FBgn0031413	428	374	423	529	359
FBgn0031414	2150	1225	1834	1453	2038
FBgn0014010	8816	7500	8049	7993	7908
FBgn0261647	1767	1347	1855	1836	1476
FBgn0031417	1235	1422	1418	1436	1663
FBgn0031418	4898	5716	6627	6291	7436
FBgn0031419	318	347	309	334	290
FBgn0266317	53	31	45	24	55
FBgn0031420	985	862	997	1063	797
FBgn0264672	489	556	599	663	507
FBgn0031422	256	264	305	321	241
FBgn0031423	16	31	2	0	1
FBgn0264081	13	15	2	0	1
FBgn0031424	1211	847	1013	838	1092
FBgn0031426	32	30	41	14	25
FBgn0051948	148	212	0	0	0
FBgn0085477	1	0	0	1	0
FBgn0085476	12	37	4	3	4
FBgn0031428	901	845	1441	1305	1390
FBgn0264988	0	3	0	0	0
FBgn0266217	10	11	15	15	10
FBgn0000490	635	439	727	492	637
FBgn0012017	0	0	0	0	0
FBgn0012016	0	0	0	0	0
FBgn0266824	0	1	0	1	0
FBgn0264978	1664	1855	1627	1889	1510
FBgn0011818	2020	1522	2106	2352	1628
FBgn0265818	0	0	0	0	0
FBgn0267738	0	0	1	0	0
FBgn0264943	3	3	0	0	0
FBgn0031431	4	9	0	0	0
FBgn0264944	1	2	1	3	1
FBgn0031432	960	1067	942	752	1177
FBgn0041337	390	516	769	841	1004
FBgn0085343	0	0	0	0	0
FBgn0026778	0	0	0	0	0
FBgn0031434	749	755	852	1244	558
FBgn0031435	975	1034	1149	1479	775
FBgn0031436	5598	6093	5233	4401	5759
FBgn0031437	1206	1457	1317	1382	1227
FBgn0026479	4349	4173	4491	4813	3629
FBgn0250835	139	231	93	110	104
FBgn0266025	0	0	0	0	0
FBgn0266024	0	1	0	0	0
FBgn0263322	0	0	0	1	0
FBgn0267269	0	1	0	0	0
FBgn0264434	0	0	0	0	0
FBgn0031441	3	8	0	0	0
FBgn0264433	3	5	0	0	0
FBgn0031442	10	8	1	0	0
FBgn0026395	0	2	0	3	1
FBgn0031443	16	28	0	0	0
FBgn0031444	17	13	0	0	0
FBgn0041248	1	0	1	0	0
FBgn0051690	232	229	215	188	202
FBgn0031446	0	2	1	2	1
FBgn0031449	4349	4147	5275	5523	4995
FBgn0263564	0	0	0	0	0
FBgn0031450	1946	1683	2018	2166	1831
FBgn0031451	65	78	39	44	34
FBgn0031452	1142	1110	1252	1573	1020
FBgn0250906	16375	18823	17562	17222	17673
FBgn0031453	12442	11499	12289	11151	12039
FBgn0265997	1	1	1	1	3
FBgn0031455	0	0	0	0	0
FBgn0031454	0	0	0	0	0
FBgn0031456	766	633	783	832	638
FBgn0031457	887	748	809	951	745
FBgn0031458	712	719	728	924	668
FBgn0026324	528	531	539	601	533
FBgn0028398	669	853	674	725	688
FBgn0019830	4856	5606	6278	6642	6109
FBgn0031459	3459	4498	3722	4083	3506
FBgn0031460	14	11	24	9	13
FBgn0004242	5995	2946	4667	3778	5480
FBgn0264369	0	1	0	0	0
FBgn0031461	1382	1204	1168	893	918
FBgn0031462	47	67	0	0	2
FBgn0031463	48	46	41	25	63
FBgn0031464	3072	2549	3518	4452	2438
FBgn0031465	2	6	2	1	3
FBgn0031466	5	13	14	15	14
FBgn0031467	5	28	48	15	11
FBgn0266881	2	2	1	0	0
FBgn0031468	51	51	49	55	49
FBgn0031469	3	5	0	0	0
FBgn0031470	7	6	2	12	1
FBgn0031471	6	13	7	6	5
FBgn0031472	11	6	0	0	0
FBgn0031473	303	244	234	239	275
FBgn0015521	20969	25649	20238	20729	19710
FBgn0031474	2835	2143	2717	2474	2715
FBgn0051694	6161	5545	5506	5735	5150
FBgn0031478	2614	2656	2863	2776	2633
FBgn0031479	623	915	689	805	677
FBgn0051950	224	259	203	244	213
FBgn0028970	1080	1070	967	1074	1049
FBgn0024947	4613	4180	4544	4171	4670
FBgn0041111	2929	1605	2706	2496	2379
FBgn0010263	6322	4536	5494	4398	6013
FBgn0024920	1637	1920	1830	2421	1471
FBgn0004584	1897	1894	2138	2594	1625
FBgn0260639	740	701	851	884	712
FBgn0031483	1897	2059	2383	3250	1609
FBgn0031484	809	833	1052	1152	808
FBgn0031485	734	846	759	701	717
FBgn0250786	5660	3999	5790	6139	4428
FBgn0025109	702	802	775	903	706
FBgn0002989	852	834	1002	1271	822
FBgn0025681	2714	1895	2677	2731	2184
FBgn0031488	373	287	371	400	337
FBgn0031489	2418	2768	2865	2744	2665
FBgn0031490	443	403	424	609	429
FBgn0031491	997	952	954	1012	855
FBgn0031492	1503	1593	1653	1921	1372
FBgn0031493	3058	3207	3185	3670	2783
FBgn0031494	434	427	382	411	424
FBgn0264996	2	3	0	0	0
FBgn0031495	1147	1200	1197	1253	1058
FBgn0031496	22	39	11	23	14
FBgn0031497	4520	4718	4359	4837	3968
FBgn0031498	474	540	528	629	507
FBgn0243513	196	193	255	284	210
FBgn0031500	752	941	877	866	866
FBgn0031501	128	170	89	86	84
FBgn0042627	10043	10138	9556	8710	8309
FBgn0263847	8	8	16	9	7
FBgn0003934	8	10	12	17	11
FBgn0027571	57007	55031	58097	50056	55634
FBgn0015600	5378	3844	5422	5719	4447
FBgn0031505	4409	4951	4282	4177	4822
FBgn0011648	3004	2135	2957	3086	2500
FBgn0260817	636	605	718	980	484
FBgn0051953	0	0	0	0	0
FBgn0014906	2409	1928	2246	2146	1945
FBgn0011985	0	0	0	0	0
FBgn0264744	196	213	234	313	181
FBgn0264745	322	329	366	387	332
FBgn0011984	0	0	0	0	0
FBgn0051698	0	0	0	0	0
FBgn0031512	1	0	0	1	1
FBgn0085422	102	85	81	93	80
FBgn0266875	0	1	0	0	0
FBgn0266876	1	3	0	0	2
FBgn0266877	0	0	0	2	0
FBgn0267270	0	6	2	1	3
FBgn0265677	0	0	0	0	0
FBgn0031513	3	8	1	0	0
FBgn0031514	1546	1567	1308	1041	1213
FBgn0265678	0	0	0	0	0
FBgn0031515	805	906	816	719	778
FBgn0031516	1351	1136	1157	1096	1156
FBgn0031518	484	403	418	319	376
FBgn0031517	2631	2942	2819	2372	2805
FBgn0031519	200	213	225	340	195
FBgn0031520	360	383	498	488	540
FBgn0053281	218	261	353	299	333
FBgn0053282	205	166	323	200	320
FBgn0031522	742	848	1020	863	1051
FBgn0031523	603	640	828	700	873
FBgn0020445	1761	1278	1821	1893	1318
FBgn0031526	60	76	6	9	6
FBgn0085423	3634	2649	3757	3796	3200
FBgn0031528	1250	1252	1263	1039	1454
FBgn0031529	566	550	590	677	463
FBgn0016698	1076	1263	1112	1215	994
FBgn0266839	0	1	0	0	0
FBgn0259950	1	1	1	1	0
FBgn0266026	0	0	0	0	0
FBgn0266027	1	0	0	0	0
FBgn0031530	605	446	596	426	501
FBgn0031533	449	466	433	417	525
FBgn0031534	2301	2024	2358	2231	2156
FBgn0031535	1042	1050	1245	1597	1275
FBgn0031536	1067	933	1128	1193	1023
FBgn0266670	1331	1559	1482	1608	1363
FBgn0031538	2807	3402	3916	3669	3718
FBgn0005616	375	272	345	331	306
FBgn0263526	0	0	0	0	0
FBgn0021967	4649	5702	4650	4557	4889
FBgn0031540	847	759	1075	1444	687
FBgn0051776	8	15	4	2	9
FBgn0051956	1278	1327	1127	944	1102
FBgn0266912	0	0	0	0	0
FBgn0264549	28	5	16	22	43
FBgn0261560	13934	13397	10138	10412	12874
FBgn0031542	76	112	89	87	94
FBgn0014396	5403	4400	6133	5582	6389
FBgn0266837	1	3	6	3	4
FBgn0051954	4	7	8	10	3
FBgn0266838	0	5	1	2	2
FBgn0053123	6973	7719	6786	8069	6067
FBgn0031544	3072	3664	3360	4003	2859
FBgn0031545	414	548	0	1	1
FBgn0031547	94	81	97	83	99
FBgn0031548	519	546	562	451	541
FBgn0031549	974	819	1078	1319	811
FBgn0031550	7	11	16	16	6
FBgn0265367	1	6	0	1	0
FBgn0024244	583	404	563	576	688
FBgn0265368	0	5	0	1	0
FBgn0265960	1	2	0	1	0
FBgn0264370	0	0	0	0	0
FBgn0264363	0	0	0	0	0
FBgn0004892	98	83	71	58	70
FBgn0264371	2	3	0	0	0
FBgn0002985	307	309	271	196	231
FBgn0265369	60	56	46	39	54
FBgn0015663	648	710	745	681	772
FBgn0031554	87	95	51	52	71
FBgn0000721	11069	8329	10869	10815	9138
FBgn0263523	0	2	0	0	0
FBgn0085369	95	64	98	75	118
FBgn0259951	65	88	0	0	0
FBgn0259953	4	12	1	0	1
FBgn0259952	290	265	0	0	0
FBgn0261054	18	14	0	1	0
FBgn0031558	299	391	511	501	655
FBgn0031559	23	14	14	10	12
FBgn0051779	179	163	0	2	3
FBgn0263096	2	16	4	7	8
FBgn0262721	42	35	34	25	38
FBgn0031560	864	977	1059	970	1296
FBgn0031561	7026	6928	7434	6866	8532
FBgn0031562	230	250	394	447	493
FBgn0031563	1142	1321	1165	999	1230
FBgn0259954	3	7	2	0	4
FBgn0259955	13	22	0	1	0
FBgn0259956	25	54	0	1	0
FBgn0259957	9	22	1	0	0
FBgn0262621	7	19	0	0	0
FBgn0265370	5	8	0	0	0
FBgn0031564	63	86	78	90	71
FBgn0051778	1194	1098	1210	992	1212
FBgn0051777	397	452	405	447	461
FBgn0015376	828	774	1002	1326	683
FBgn0051955	54	65	60	45	67
FBgn0031566	1853	1626	1797	1924	1569
FBgn0040104	19	23	9	21	24
FBgn0003386	821	475	760	674	789
FBgn0031568	105	49	78	69	87
FBgn0263846	538	296	527	389	536
FBgn0263842	2	1	1	0	1
FBgn0262392	0	0	0	0	0
FBgn0263843	4	3	2	1	4
FBgn0004893	1113	881	1021	849	1042
FBgn0051958	0	1	0	0	0
FBgn0031571	1818	1229	1942	1773	1761
FBgn0021800	3870	2489	3559	3208	3641
FBgn0031573	582	597	661	804	473
FBgn0264885	2	4	0	0	0
FBgn0264886	0	0	0	0	0
FBgn0003430	104	93	62	83	69
FBgn0004567	64	42	54	47	43
FBgn0266318	0	0	0	0	0
FBgn0267007	0	0	0	0	0
FBgn0267005	3	1	0	2	0
FBgn0267006	0	0	0	1	1
FBgn0264887	0	0	0	0	0
FBgn0031574	347	348	188	151	149
FBgn0031575	976	918	1026	1153	878
FBgn0051957	501	497	525	725	425
FBgn0000256	2067	1995	1995	2051	1689
FBgn0051774	166	87	152	102	179
FBgn0264341	18	16	5	8	12
FBgn0266883	0	1	0	1	0
FBgn0085205	833	830	791	792	938
FBgn0031579	1094	1088	1223	1045	1409
FBgn0031580	1080	1069	1123	1106	1486
FBgn0264295	80	57	92	39	133
FBgn0264296	702	808	642	617	918
FBgn0000547	5108	2696	4943	5057	4251
FBgn0266319	16	20	25	25	18
FBgn0086032	0	0	0	1	0
FBgn0020376	4	3	0	2	2
FBgn0014033	437	679	650	534	600
FBgn0026394	0	0	0	0	0
FBgn0267441	0	1	2	1	1
FBgn0264866	11	9	11	14	7
FBgn0051961	762	790	831	1015	706
FBgn0040102	159	334	254	193	199
FBgn0031589	4573	4245	4319	4137	4330
FBgn0001075	130	78	105	146	116
